"session_id","question","response"
"20488834-dd4d-11ef-858d-0242ac120003",question1,Resource Operations Coordinator
"20488834-dd4d-11ef-858d-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"20488834-dd4d-11ef-858d-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"23b2826c-dd4e-11ef-af32-0242ac120003",question1,Team Coordinator
"23b2826c-dd4e-11ef-af32-0242ac120003",question2,"Prior Experience, References, Education, Technical Skills"
"23b2826c-dd4e-11ef-af32-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies."
"23b2826c-dd4e-11ef-af32-0242ac120003",question1,Resource Operations Coordinator
"23b2826c-dd4e-11ef-af32-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"23b2826c-dd4e-11ef-af32-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies."
"2ec7d990-dd4e-11ef-a609-0242ac120003",question1,Project Coordinator
"2ec7d990-dd4e-11ef-a609-0242ac120003",question2,Soft Skills
"2ec7d990-dd4e-11ef-a609-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10."
"2ec7d990-dd4e-11ef-a609-0242ac120003",question1,Resource Operations Coordinator
"2ec7d990-dd4e-11ef-a609-0242ac120003",question2,"Soft Skills, References, Education"
"2ec7d990-dd4e-11ef-a609-0242ac120003",question3,"The candidate has had 4 years of experience in the position., The candidate has received 10 reference letters from previous companies., The candidate‘s „References“ have received the maximal score of 10."
"35c05290-dd4e-11ef-b02c-0242ac120003",question1,Resource Alignment Coordinator
"35c05290-dd4e-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"35c05290-dd4e-11ef-b02c-0242ac120003",question3,"The candidate‘s „Experience“ has a lower value than the candidate‘s „Soft Skills“., The candidate‘s „References“ have received the maximal score of 10."
"4054d2e4-dd4e-11ef-a609-0242ac120003",question1,Resource Operations Coordinator
"4054d2e4-dd4e-11ef-a609-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
"4054d2e4-dd4e-11ef-a609-0242ac120003",question3,The candidate‘s „References“ have received the maximal score of 10.
"559825ac-dd4e-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"559825ac-dd4e-11ef-b02c-0242ac120003",question2,"Soft Skills, Technical Skills, References, Education, Prior Experience"
"559825ac-dd4e-11ef-b02c-0242ac120003",question3,"The candidate has had 4 years of experience in the position., The candidate‘s „References“ have received the maximal score of 10."
"559825ac-dd4e-11ef-b02c-0242ac120003",question1,Resource Operations Coordinator
"559825ac-dd4e-11ef-b02c-0242ac120003",question2,"Prior Experience, Education, References, Soft Skills"
